nca_name,total_msoas,fully_within_count,partially_within_count,avg_agri_percentage,avg_skill_matched_percentage,avg_diversity
Bowland Fells,6,0,6,8.302543559225276,4.05364876252078,15.65363990116045
Central Lincolnshire Vale,14,0,14,5.025883809993075,5.9945391897256615,14.665654256753136
Dark Peak,31,4,27,2.172961914391715,4.712158428232174,14.30976945188981
Herefordshire Lowlands,23,10,13,6.199816699750097,7.018545890599598,16.607238144936005
High Leicestershire,19,3,16,2.7263588359488136,6.768083791680883,15.093308487591218
Kesteven Uplands,15,2,13,2.94297015604319,5.983011911278605,14.511470033254485
Mid Somerset Hills,17,0,17,4.747652839283064,5.226661147587704,14.807902799008536
North Pennines,12,0,12,8.104135562235971,4.973467347691188,16.140999086638978
South Coast Plain,113,83,30,1.3081165232496372,4.763562540161239,16.191666312462342
South Norfolk and High Suffolk Claylands,39,11,28,4.689613807902309,5.422348554392052,13.855375250807265
Southern Pennines,90,39,51,1.2345945531121485,6.110267973631684,15.080302264795366
The Culm,32,13,19,7.902973642085242,5.3807361873745005,18.204721988149835
Vale of Mowbray,11,3,8,6.272128151982811,6.0116282911929275,14.921637123301108
Yorkshire Dales,13,2,11,8.364772316277085,4.268351175378098,16.43879957933983
